continent,year,emissions
NorthAmerica,1946,2437620452.0
NorthAmerica,1947,2676599193.0
NorthAmerica,1948,2790213188.0
NorthAmerica,1949,2352740570.0
NorthAmerica,1950,2744654190.0
NorthAmerica,1951,2840649323.0
NorthAmerica,1952,2768178227.0
NorthAmerica,1953,2831916500.0
NorthAmerica,1954,2718204184.0
NorthAmerica,1955,2966226498.0
NorthAmerica,1956,3124030685.0
NorthAmerica,1957,3103255373.0
NorthAmerica,1958,3022679316.0
NorthAmerica,1959,3114883663.0
NorthAmerica,1960,3189112226.0
NorthAmerica,1961,3184349939.0
NorthAmerica,1962,3309376792.0
NorthAmerica,1963,3442290937.0
NorthAmerica,1964,3621031075.0
NorthAmerica,1965,3771440604.0
NorthAmerica,1966,3956276316.0
NorthAmerica,1967,4126962898.0
NorthAmerica,1968,4289367868.0
NorthAmerica,1969,4501679888.0
NorthAmerica,1970,4862418409.0
NorthAmerica,1971,4916075467.0
NorthAmerica,1972,5162109508.0
NorthAmerica,1973,5397122525.0
NorthAmerica,1974,5251285810.0
NorthAmerica,1975,5127968610.0
NorthAmerica,1976,5434560667.0
NorthAmerica,1977,5591028587.0
NorthAmerica,1978,5676990941.0
NorthAmerica,1979,5792359070.0
NorthAmerica,1980,5621038348.0
NorthAmerica,1981,5495519473.0
NorthAmerica,1982,5263629687.0
NorthAmerica,1983,5203537112.0
NorthAmerica,1984,5461843912.0
NorthAmerica,1985,5465180017.0
NorthAmerica,1986,5450086150.0
NorthAmerica,1987,5656466693.0
NorthAmerica,1988,5906086497.0
NorthAmerica,1989,6018100327.0
NorthAmerica,1990,5984512141.0
NorthAmerica,1991,5932717441.0
NorthAmerica,1992,6057230391.0
NorthAmerica,1993,6163882533.0
NorthAmerica,1994,6288259639.0
NorthAmerica,1995,6350638338.0
NorthAmerica,1996,6576288267.0
NorthAmerica,1997,6695065330.0
NorthAmerica,1998,6765937652.0
NorthAmerica,1999,6861781942.0
NorthAmerica,2000,7107691709.0
NorthAmerica,2001,7014631472.0
NorthAmerica,2002,7068126101.0
NorthAmerica,2003,7183859119.0
NorthAmerica,2004,7282769072.0
NorthAmerica,2005,7330252917.0
NorthAmerica,2006,7265229406.0
NorthAmerica,2007,7376088584.0
NorthAmerica,2008,7158261808.0
NorthAmerica,2009,6670754218.0
NorthAmerica,2010,6875767079.0
NorthAmerica,2011,6771607912.0
NorthAmerica,2012,6580282771.0
NorthAmerica,2013,6714923529.0
NorthAmerica,2014,6753942686.0
NorthAmerica,2015,6612704117.0
NorthAmerica,2016,6471359556.0
NorthAmerica,2017,6412981891.0
NorthAmerica,2018,6588629908.0
NorthAmerica,2019,6460726238.0
NorthAmerica,2020,5775158655.0
SouthAmerica,1884,3664.0
SouthAmerica,1885,3664.0
SouthAmerica,1886,7328.0
SouthAmerica,1887,1091872.0
SouthAmerica,1888,897680.0
SouthAmerica,1889,1762384.0
SouthAmerica,1890,1381328.0
SouthAmerica,1891,985616.0
SouthAmerica,1892,1450944.0
SouthAmerica,1893,1601168.0
SouthAmerica,1894,2033520.0
SouthAmerica,1895,2828608.0
SouthAmerica,1896,2879904.0
SouthAmerica,1897,2758992.0
SouthAmerica,1898,3176688.0
SouthAmerica,1899,3715296.0
SouthAmerica,1900,3165696.0
SouthAmerica,1901,6401008.0
SouthAmerica,1902,7379296.0
SouthAmerica,1903,7676080.0
SouthAmerica,1904,8665360.0
SouthAmerica,1905,9211296.0
SouthAmerica,1906,12329360.0
SouthAmerica,1907,12684768.0
SouthAmerica,1908,14886832.0
SouthAmerica,1909,13406576.0
SouthAmerica,1910,17246448.0
SouthAmerica,1911,19162720.0
SouthAmerica,1912,19990784.0
SouthAmerica,1913,21122960.0
SouthAmerica,1914,17195152.0
SouthAmerica,1915,15088352.0
SouthAmerica,1916,13619088.0
SouthAmerica,1917,10867424.0
SouthAmerica,1918,10999328.0
SouthAmerica,1919,12900944.0
SouthAmerica,1920,14641344.0
SouthAmerica,1921,14428832.0
SouthAmerica,1922,17162176.0
SouthAmerica,1923,19759952.0
SouthAmerica,1924,24332624.0
SouthAmerica,1925,26384464.0
SouthAmerica,1926,27381072.0
SouthAmerica,1927,30081440.0
SouthAmerica,1928,31427830.0
SouthAmerica,1929,34424330.0
SouthAmerica,1930,29122493.0
SouthAmerica,1931,25545738.0
SouthAmerica,1932,28960146.0
SouthAmerica,1933,32898529.0
SouthAmerica,1934,37257450.0
SouthAmerica,1935,41081411.0
SouthAmerica,1936,39596511.0
SouthAmerica,1937,50161731.0
SouthAmerica,1938,46272798.0
SouthAmerica,1939,47060380.0
SouthAmerica,1940,50716699.0
SouthAmerica,1941,50752568.0
SouthAmerica,1942,48166197.0
SouthAmerica,1943,48569506.0
SouthAmerica,1944,53866373.0
SouthAmerica,1945,54137152.0
SouthAmerica,1946,118776011.0
SouthAmerica,1947,62107071.0
SouthAmerica,1948,69504089.0
SouthAmerica,1949,70824633.0
SouthAmerica,1950,112577081.0
SouthAmerica,1951,131287165.0
SouthAmerica,1952,141474461.0
SouthAmerica,1953,140642950.0
SouthAmerica,1954,151056109.0
SouthAmerica,1955,170080405.0
SouthAmerica,1956,184182374.0
SouthAmerica,1957,192917955.0
SouthAmerica,1958,178754813.0
SouthAmerica,1959,196996205.0
SouthAmerica,1960,199162531.0
SouthAmerica,1961,201790400.0
SouthAmerica,1962,215670147.0
SouthAmerica,1963,219432748.0
SouthAmerica,1964,230217258.0
SouthAmerica,1965,240179708.0
SouthAmerica,1966,252098415.0
SouthAmerica,1967,267478130.0
SouthAmerica,1968,287793723.0
SouthAmerica,1969,311445861.0
SouthAmerica,1970,338088977.0
SouthAmerica,1971,346784136.0
SouthAmerica,1972,362787962.0
SouthAmerica,1973,392891071.0
SouthAmerica,1974,416698590.0
SouthAmerica,1975,412131333.0
SouthAmerica,1976,419568227.0
SouthAmerica,1977,435040931.0
SouthAmerica,1978,461425681.0
SouthAmerica,1979,494424507.0
SouthAmerica,1980,508467198.0
SouthAmerica,1981,489334209.0
SouthAmerica,1982,490651123.0
SouthAmerica,1983,485837506.0
SouthAmerica,1984,491926527.0
SouthAmerica,1985,502054215.0
SouthAmerica,1986,530170080.0
SouthAmerica,1987,557530046.0
SouthAmerica,1988,580553727.0
SouthAmerica,1989,580183777.0
SouthAmerica,1990,595613577.0
SouthAmerica,1991,603003964.0
SouthAmerica,1992,615051115.0
SouthAmerica,1993,650400713.0
SouthAmerica,1994,667658230.0
SouthAmerica,1995,699156081.0
SouthAmerica,1996,725574209.0
SouthAmerica,1997,768849399.0
SouthAmerica,1998,821328788.0
SouthAmerica,1999,839542549.0
SouthAmerica,2000,821389541.0
SouthAmerica,2001,832246397.0
SouthAmerica,2002,847147909.0
SouthAmerica,2003,858232426.0
SouthAmerica,2004,867759092.0
SouthAmerica,2005,902003261.0
SouthAmerica,2006,912729584.0
SouthAmerica,2007,940748667.0
SouthAmerica,2008,1007520350.0
SouthAmerica,2009,991952053.0
SouthAmerica,2010,1082415226.0
SouthAmerica,2011,1103963494.0
SouthAmerica,2012,1159699662.0
SouthAmerica,2013,1218740221.0
SouthAmerica,2014,1230511065.0
SouthAmerica,2015,1204961439.0
SouthAmerica,2016,1164897792.0
SouthAmerica,2017,1156733992.0
SouthAmerica,2018,1091450086.0
SouthAmerica,2019,1065509648.0
SouthAmerica,2020,994160327.0
Africa,1884,21984.0
Africa,1885,36640.0
Africa,1886,47632.0
Africa,1887,47632.0
Africa,1888,80608.0
Africa,1889,131904.0
Africa,1890,296784.0
Africa,1891,296784.0
Africa,1892,479984.0
Africa,1893,1799024.0
Africa,1894,2432896.0
Africa,1895,3337904.0
Africa,1896,4257568.0
Africa,1897,4777856.0
Africa,1898,6049264.0
Africa,1899,5517984.0
Africa,1900,2330304.0
Africa,1901,3909488.0
Africa,1902,5825760.0
Africa,1903,7895920.0
Africa,1904,8910848.0
Africa,1905,10262864.0
Africa,1906,11717472.0
Africa,1907,12930256.0
Africa,1908,13402912.0
Africa,1909,15385136.0
Africa,1910,17411328.0
Africa,1911,16865392.0
Africa,1912,17953600.0
Africa,1913,19606064.0
Africa,1914,19551104.0
Africa,1915,19606064.0
Africa,1916,23255408.0
Africa,1917,25343888.0
Africa,1918,24724672.0
Africa,1919,25442816.0
Africa,1920,28051584.0
Africa,1921,27985632.0
Africa,1922,23969888.0
Africa,1923,29044528.0
Africa,1924,30631040.0
Africa,1925,32184576.0
Africa,1926,34437936.0
Africa,1927,33840704.0
Africa,1928,34770319.0
Africa,1929,35801618.0
Africa,1930,33695674.0
Africa,1931,29463712.0
Africa,1932,26622752.0
Africa,1933,28491130.0
Africa,1934,32539280.0
Africa,1935,35909542.0
Africa,1936,39015954.0
Africa,1937,41844264.0
Africa,1938,44013164.0
Africa,1939,46852928.0
Africa,1940,49649188.0
Africa,1941,54023460.0
Africa,1942,58822885.0
Africa,1943,60119628.0
Africa,1944,66632909.0
Africa,1945,67527186.0
Africa,1946,68159365.0
Africa,1947,67934744.0
Africa,1948,71733138.0
Africa,1949,77323523.0
Africa,1950,93452170.0
Africa,1951,99862086.0
Africa,1952,108882378.0
Africa,1953,110796119.0
Africa,1954,116156914.0
Africa,1955,128058301.0
Africa,1956,133509450.0
Africa,1957,139953082.0
Africa,1958,148304511.0
Africa,1959,147910838.0
Africa,1960,156640453.0
Africa,1961,162078599.0
Africa,1962,166426479.0
Africa,1963,176448437.0
Africa,1964,193763891.0
Africa,1965,213784592.0
Africa,1966,221261615.0
Africa,1967,237257662.0
Africa,1968,257600231.0
Africa,1969,278139487.0
Africa,1970,302942683.0
Africa,1971,332205529.0
Africa,1972,352242151.0
Africa,1973,378426604.0
Africa,1974,388872733.0
Africa,1975,387838602.0
Africa,1976,420868292.0
Africa,1977,433857083.0
Africa,1978,463281540.0
Africa,1979,500008669.0
Africa,1980,536509759.0
Africa,1981,549389371.0
Africa,1982,572603068.0
Africa,1983,595441085.0
Africa,1984,650285298.0
Africa,1985,666683905.0
Africa,1986,690699782.0
Africa,1987,690794283.0
Africa,1988,726048074.0
Africa,1989,699220923.0
Africa,1990,659294543.0
Africa,1991,689025539.0
Africa,1992,668677085.0
Africa,1993,708858320.0
Africa,1994,719622610.0
Africa,1995,771994122.0
Africa,1996,783254265.0
Africa,1997,812903488.0
Africa,1998,838022046.0
Africa,1999,830397266.0
Africa,2000,886561876.0
Africa,2001,884168245.0
Africa,2002,892574682.0
Africa,2003,967219666.0
Africa,2004,1036685536.0
Africa,2005,1057341604.0
Africa,2006,1090194921.0
Africa,2007,1132293212.0
Africa,2008,1181391104.0
Africa,2009,1191035249.0
Africa,2010,1218023292.0
Africa,2011,1258708905.0
Africa,2012,1253144211.0
Africa,2013,1260316387.0
Africa,2014,1363499747.0
Africa,2015,1322735077.0
Africa,2016,1356719492.0
Africa,2017,1384372117.0
Africa,2018,1385644894.0
Africa,2019,1408478929.0
Africa,2020,1326043539.0
Europe,1884,714114256.0
Europe,1885,716626785.0
Europe,1886,715952931.0
Europe,1887,743250804.0
Europe,1888,787469107.0
Europe,1889,824518449.0
Europe,1890,862527964.0
Europe,1891,892961894.0
Europe,1892,879268189.0
Europe,1893,854817752.0
Europe,1894,927854281.0
Europe,1895,952554435.0
Europe,1896,996090638.0
Europe,1897,1045580067.0
Europe,1898,1079071410.0
Europe,1899,1149405592.0
Europe,1900,1205634433.0
Europe,1901,1195102204.0
Europe,1902,1195967404.0
Europe,1903,1245050532.0
Europe,1904,1268305471.0
Europe,1905,1305575825.0
Europe,1906,1347295601.0
Europe,1907,1492693435.0
Europe,1908,1517106467.0
Europe,1909,1518710768.0
Europe,1910,1538492133.0
Europe,1911,1573984768.0
Europe,1912,1632356078.0
Europe,1913,1767217084.0
Europe,1914,1573793464.0
Europe,1915,1492706247.0
Europe,1916,1561014950.0
Europe,1917,1533266620.0
Europe,1918,1394054050.0
Europe,1919,1183761186.0
Europe,1920,1373670782.0
Europe,1921,1253114718.0
Europe,1922,1397864742.0
Europe,1923,1335672826.0
Europe,1924,1541490880.0
Europe,1925,1526763297.0
Europe,1926,1308384783.0
Europe,1927,1670139118.0
Europe,1928,1676784845.0
Europe,1929,1820241885.0
Europe,1930,1721169046.0
Europe,1931,1606566367.0
Europe,1932,1492846009.0
Europe,1933,1537176189.0
Europe,1934,1682142368.0
Europe,1935,1766803244.0
Europe,1936,1876495299.0
Europe,1937,2036583243.0
Europe,1938,2045974976.0
Europe,1939,2094155174.0
Europe,1940,2227796437.0
Europe,1941,2142812350.0
Europe,1942,1996334644.0
Europe,1943,2002949695.0
Europe,1944,1889258345.0
Europe,1945,1233343091.0
Europe,1946,1656558714.0
Europe,1947,1907210680.0
Europe,1948,2055523221.0
Europe,1949,2242201278.0
Europe,1950,2382639410.0
Europe,1951,2629480210.0
Europe,1952,2713203162.0
Europe,1953,2790667099.0
Europe,1954,2969121271.0
Europe,1955,3232661794.0
Europe,1956,3444107828.0
Europe,1957,3592022483.0
Europe,1958,3630382366.0
Europe,1959,3711830506.0
Europe,1960,3961922835.0
Europe,1961,4106401353.0
Europe,1962,4333285839.0
Europe,1963,4607005636.0
Europe,1964,4836004626.0
Europe,1965,4978519865.0
Europe,1966,5149149081.0
Europe,1967,5262922990.0
Europe,1968,5508267150.0
Europe,1969,5808330574.0
Europe,1970,6090346255.0
Europe,1971,6312748240.0
Europe,1972,6541128889.0
Europe,1973,6833578783.0
Europe,1974,6851163858.0
Europe,1975,6889733011.0
Europe,1976,7264646559.0
Europe,1977,7320281269.0
Europe,1978,7552390389.0
Europe,1979,7732355204.0
Europe,1980,7735701430.0
Europe,1981,7453971675.0
Europe,1982,7394330536.0
Europe,1983,7400813605.0
Europe,1984,7451776191.0
Europe,1985,7775661001.0
Europe,1986,7788329538.0
Europe,1987,7812748002.0
Europe,1988,7846139038.0
Europe,1989,7813968314.0
Europe,1990,8015588993.0
Europe,1991,7714385696.0
Europe,1992,7078817583.0
Europe,1993,6791984195.0
Europe,1994,6433785144.0
Europe,1995,6415240923.0
Europe,1996,6464354025.0
Europe,1997,6258128350.0
Europe,1998,6232186994.0
Europe,1999,6147588627.0
Europe,2000,6149033673.0
Europe,2001,6275941415.0
Europe,2002,6241655552.0
Europe,2003,6387841133.0
Europe,2004,6419130511.0
Europe,2005,6410329615.0
Europe,2006,6509434302.0
Europe,2007,6457352334.0
Europe,2008,6384572255.0
Europe,2009,5871171361.0
Europe,2010,6098534908.0
Europe,2011,6023668149.0
Europe,2012,5972231655.0
Europe,2013,5815574828.0
Europe,2014,5589757324.0
Europe,2015,5594384221.0
Europe,2016,5590252902.0
Europe,2017,5620306625.0
Europe,2018,5593057381.0
Europe,2019,5430238970.0
Europe,2020,4946034489.0
